Date édition;Numéro opération;Opération (intitulé);Version du dossier;Dernière version validée;Bénéficiaire (Siret ou autre);Bénéficiaire (Intitulé);Date prévisionnelle de début d'opération;Année de début prévisionnel d'opération;Date prévisionnelle de fin d'opération;Date de début effectif d'opération;Année de début effectif d'opération;Date de fin effective d'opération;Date de 1ère programmation (Date 1er comité décisionnel - version 1);Année de 1ère programmation (1er comité décisionnel - version 1);Date de dernière programmation (Date du dernier comité décisionnel);Année de dernière programmation (Année du dernier comité décisionnel);Etat de l'opération;Etat détaillé de l'opération;Programme de l'opération (code);1er niveau de codification opération (code);2e niveau de codification opération (code);3e niveau de codification opération (code);4e niveau de codification opération (code);5e niveau de codification opération (code);6e niveau de codification opération (code);Groupe de l'indicateur (code);Fonds de l'indicateur;Indicateur (code);Indicateur (libellé);Type indicateur;Nature indicateur;Mode de saisie indicateur;Unité de mesure indicateur;Assistance aux participants indicateur (O/N);Assistance aux entités indicateur (O/N);Cadre de performance (indicateur de programme);Pertinent (valeur);Valeur prévisionnelle (en cours);Valeur prévisionnelle (conventionnée);Commentaire général de l'indicateur;Au moins une valeur réalisée renseignée en dehors d'un CSF (O/N);Au moins une valeur réalisée renseignée dans un CSF (O/N);Opération physiquement intégralement achevée (O/N);Opération physiquement partiellement achevée (O/N);Date du dernier enregistrement (date système);Date de réalisation;Année de réalisation;Origine de la réalisation;Type de DDP;Numéro de DDP;Numéro de CSF et de version;Date d'envoi du CSF à l'AC;Valeur réalisée - TOTAL (dans le cas d'un indicateur H/F) ou Valeur qualitative;Valeur réalisée - dont FEMMES;Valeur réalisée - dont HOMMES
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO01_FEDER;Nombre d'entreprises bénéficiant d'un soutien;REALI;QUANT;AUT;Entreprises;N;O;N;N;;;"";N;N;N;N;;;;;;;;;;;
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO02_FEDER;Nombre d'entreprises bénéficiant de subventions;REALI;QUANT;AUT;Entreprises;N;O;N;N;;;"";N;N;N;N;;;;;;;;;;;
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO03_FEDER;Nombre d'entreprises bénéficiant d'un soutien financier autre que des subventions;REALI;QUANT;AUT;Entreprises;N;O;O;N;;;"";N;N;N;N;;;;;;;;;;;
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO04_FEDER;Nombre d'entreprises bénéficiant d'un soutien non financier;REALI;QUANT;AUT;Entreprises;N;O;N;N;;;"";N;N;N;N;;;;;;;;;;;
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO05_FEDER;Nombre de nouvelles entreprises bénéficiant d'un soutien;REALI;QUANT;AUT;Entreprises;N;O;N;N;;;"";N;N;N;N;;;;;;;;;;;
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO06_FEDER;Investissements privés complétant un soutien public aux entreprises (subventions);REALI;QUANT;MAN;Euros;N;N;N;O;2000000,00;"";"";N;N;N;N;;;;;;;;;;;
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO07_FEDER;Investissements privés complétant un soutien public aux entreprises (hors subventions);REALI;QUANT;MAN;Euros;N;N;N;N;;;"";N;N;N;N;;;;;;;;;;;
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO08_FEDER;Augmentation de l'emploi dans les entreprises bénéficiant d'un soutien;REALI;QUANT;MAN;"Équivalents temps plein";N;N;N;O;20,00;"";"";N;N;N;N;;;;;;;;;;;
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO26_FEDER;Nombre d'entreprises coopérant avec des organismes de recherche;REALI;QUANT;MAN;Entreprises;N;O;N;N;;;"";N;N;N;N;;;;;;;;;;;
2021/04/13;PY0000891;Agrandissement de l'unité de production et de stockage;1;;06631017800018;PANIMA;2015/08/15;2015;2016/12/31;;;;2016/06/01;2016;2016/06/01;2016;Retiré;Refusé;POFEDERFSEMY1420;AP03;OT03;PI03d;OS03.3;"";"";COM_REAL_FEDER;FEDER;CO27_FEDER;Investissements privés complétant un soutien public aux projets dans les domaines de l'innovation ou de la recherche et du développement;REALI;QUANT;MAN;Euros;N;N;N;N;;;"";N;N;N;N;;;;;;;;;;;
